address_line1,address_line2,price,sold_status_date,property_url,property_id
3/22 Clarke Street,EARLWOOD NSW 2206,"$840,000",Sold prior to auction 28 Jun 2023,https://www.domain.com.au/3-22-clarke-street-earlwood-nsw-2206-2018576008,2018576008
16/17-25 William Street,EARLWOOD NSW 2206,"$1,285,000",Sold by private treaty 27 Jun 2023,https://www.domain.com.au/16-17-25-william-street-earlwood-nsw-2206-2018576463,2018576463
3/22 Clarke Street,EARLWOOD NSW 2206,"$840,000",Sold prior to auction 28 Jun 2023,https://www.domain.com.au/3-22-clarke-street-earlwood-nsw-2206-2018576008,2018576008
16/17-25 William Street,EARLWOOD NSW 2206,"$1,285,000",Sold by private treaty 27 Jun 2023,https://www.domain.com.au/16-17-25-william-street-earlwood-nsw-2206-2018576463,2018576463
