address_line1,address_line2,price,sold_status_date,property_url,property_id
403/5 Purkis Street,CAMPERDOWN NSW 2050,"$855,000",Sold by private treaty 24 Jun 2023,https://www.domain.com.au/403-5-purkis-street-camperdown-nsw-2050-2018551484,0
24 Eton Street,CAMPERDOWN NSW 2050,"$2,085,000",Sold prior to auction 23 Jun 2023,https://www.domain.com.au/24-eton-street-camperdown-nsw-2050-2018573842,0
124 Mallett Street,CAMPERDOWN NSW 2050,"$1,505,000",Sold prior to auction 22 Jun 2023,https://www.domain.com.au/124-mallett-street-camperdown-nsw-2050-2018575362,0
