address_line1,address_line2,price,sold_status_date,property_url,property_id
702/5 Sterling Circuit,CAMPERDOWN NSW 2050,"$1,520,000",Sold prior to auction 16 Jun 2023,https://www.domain.com.au/702-5-sterling-circuit-camperdown-nsw-2050-2018576225,0
17/12-14 Layton Street,CAMPERDOWN NSW 2050,"$685,000",Sold by private treaty 15 Jun 2023,https://www.domain.com.au/17-12-14-layton-street-camperdown-nsw-2050-2018573021,0
15/18 Lyons Road,CAMPERDOWN NSW 2050,"$740,000",Sold by private treaty 14 Jun 2023,https://www.domain.com.au/15-18-lyons-road-camperdown-nsw-2050-2018515666,0
14/16-20 Larkin Street,CAMPERDOWN NSW 2050,"$840,000",Sold by private treaty 13 Jun 2023,https://www.domain.com.au/14-16-20-larkin-street-camperdown-nsw-2050-2018578674,0
