address_line1,address_line2,price,sold_status_date,property_url,property_id
18/6-8 Northwood Street,CAMPERDOWN NSW 2050,Price Withheld,Sold prior to auction 27 Jun 2023,https://www.domain.com.au/18-6-8-northwood-street-camperdown-nsw-2050-2018605090,0
18/6-8 Northwood Street,CAMPERDOWN NSW 2050,Price Withheld,Sold prior to auction 27 Jun 2023,https://www.domain.com.au/18-6-8-northwood-street-camperdown-nsw-2050-2018605090,0
18/6-8 Northwood Street,CAMPERDOWN NSW 2050,Price Withheld,Sold prior to auction 27 Jun 2023,https://www.domain.com.au/18-6-8-northwood-street-camperdown-nsw-2050-2018605090,0
18/6-8 Northwood Street,CAMPERDOWN NSW 2050,Price Withheld,Sold prior to auction 27 Jun 2023,https://www.domain.com.au/18-6-8-northwood-street-camperdown-nsw-2050-2018605090,2018605090
18/6-8 Northwood Street,CAMPERDOWN NSW 2050,Price Withheld,Sold prior to auction 27 Jun 2023,https://www.domain.com.au/18-6-8-northwood-street-camperdown-nsw-2050-2018605090,2018605090
